frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
3,0.807,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.942,1359,412,1612,785,1485,785,1280,720,true,down,0.0
3,0.807,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.88,130,499,962,1074,546,1074,1280,720,true,down,0.0
3,0.807,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.855,990,658,1194,792,1092,792,1280,720,true,down,0.0
3,0.807,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.828,1719,576,1819,853,1769,853,1280,720,true,down,0.0
3,0.807,Dakar - Scène 1,group_01,traffic.mp4,5,car,0.81,0,633,263,969,131,969,1280,720,true,down,0.0
3,0.807,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.766,1206,643,1340,761,1273,761,1280,720,true,down,0.0
4,1.103,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.938,1358,411,1612,783,1485,783,1280,720,true,down,6.8
4,1.103,Dakar - Scène 1,group_01,traffic.mp4,5,car,0.853,0,631,225,952,112,951,1280,720,true,down,88.4
4,1.103,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.852,987,657,1187,793,1087,793,1280,720,true,down,17.2
4,1.103,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.835,1721,575,1820,853,1770,853,1280,720,true,down,3.4
4,1.103,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.827,83,494,947,1072,515,1072,1280,720,true,down,104.9
4,1.103,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.785,1203,643,1339,761,1271,761,1280,720,true,down,6.8
4,1.103,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.603,1616,560,1743,748,1679,748,1280,720,true,down,0.0
4,1.103,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.441,1850,609,1919,817,1884,817,1280,720,true,down,0.0
5,1.344,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.95,1357,410,1613,784,1485,784,1280,720,true,down,4.1
5,1.344,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.896,33,490,927,1072,480,1072,1280,720,true,down,145.2
5,1.344,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.853,980,656,1185,794,1082,794,1280,720,true,down,21.2
5,1.344,Dakar - Scène 1,group_01,traffic.mp4,5,car,0.851,0,631,189,961,94,961,1280,720,true,down,85.4
5,1.344,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.838,1722,575,1820,853,1771,853,1280,720,true,down,4.1
5,1.344,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.769,1203,642,1339,761,1271,761,1280,720,true,down,0.0
5,1.344,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.649,1617,565,1744,749,1680,749,1280,720,true,down,5.9
5,1.344,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.585,1850,588,1919,832,1885,832,1280,720,true,down,62.4
6,1.604,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.923,1355,409,1612,783,1484,783,1280,720,true,down,5.4
6,1.604,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.862,976,657,1182,795,1079,794,1280,720,true,down,11.5
6,1.604,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.823,1724,577,1821,853,1772,853,1280,720,true,down,3.8
6,1.604,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.802,1,488,914,1071,457,1071,1280,720,true,down,88.5
6,1.604,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.783,1202,641,1339,761,1271,761,1280,720,true,down,0.0
6,1.604,Dakar - Scène 1,group_01,traffic.mp4,5,car,0.762,0,632,143,877,72,877,1280,720,true,down,334.0
6,1.604,Dakar - Scène 1,group_01,traffic.mp4,9,car,0.758,882,639,1006,759,944,759,1280,720,true,down,0.0
6,1.604,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.718,1849,587,1919,972,1884,972,1280,720,true,down,538.5
6,1.604,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.658,1621,562,1757,748,1689,748,1280,720,true,down,34.8
7,1.868,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.923,1354,405,1613,784,1484,784,1280,720,true,down,3.8
7,1.868,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.92,1,485,890,1071,445,1071,1280,720,true,down,45.5
7,1.868,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.859,971,656,1180,795,1075,795,1280,720,true,down,15.6
7,1.868,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.846,1725,578,1821,853,1773,853,1280,720,true,down,3.8
